the_geom,cartodb_id,fc_subsidy_id,end_date,start_date,obs_id,sub_subsidy_id,subsidy_id,agency_id,reac_date,reac_score,tenure,preservation,subsidized_units,project_name,sub_subsidy_name,subsidy_name,agency_name,program
,655988,1000000001094,20321231,20020101,,,,,,,Rental,Preservation,,HOWARD AVENUE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655989,1000000001096,20361231,20060101,,,,,,,Rental,Preservation,,HOWARD AVENUE APTS,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655990,1000000001097,20361231,20060101,,,,,,,Rental,Preservation,,HOWARD AVENUE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655991,1000000001098,20301231,20000101,,,,,,,Rental,Preservation,,MACHULL REDEVELOPMENT ASSOC,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655992,1000000001099,20251231,19950101,,,,,,,Rental,Preservation,,BK 12F,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655993,1000000001100,20351231,20050101,,,,,,,Rental,Preservation,,RALPH GATES CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655994,1000000001101,20401231,20100101,,,,,,,Rental,Preservation,,SUMPTER MARCUS APTS,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655995,1000000001102,20211231,19910101,,,,,,,Rental,Preservation,,1921-1925 FULTON ST HOUSING DEVELOPMENT,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655996,1000000001103,20411231,20110101,,,,,,,Rental,,,CONCERN MACDOUGAL,LIHTC 4%,Financing,NYS Housing Finance Agency,false
,655997,1000000001104,20381231,20080101,,,,,,,Rental,Preservation,,MOTHER GASTON CLUSTER,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655998,1000000001105,20391231,20090101,,,,,,,Rental,Preservation,,MOTHER GASTON CLUSTER,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655999,1000000001106,20391231,20090101,,,,,,,Rental,,,MOTHER GASTON SUPPORTIVE HOUSING PROJECT,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656000,1000000001107,20391231,20090101,,,,,,,Rental,Preservation,,MOTHER GASTON CLUSTER,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656001,1000000001108,20261231,19960101,,,,,,,Rental,Preservation,,ROCKAWAY AVENUE PROJECT,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656002,1000000001109,20391231,20090101,,,,,,,Rental,Preservation,,MOTHER GASTON CLUSTER,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656003,1000000001110,20381231,20080101,,,,,,,Rental,Preservation,,MOTHER GASTON CLUSTER,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656004,1000000001111,20381231,20080101,,,,,,,Rental,Preservation,,MOTHER GASTON CLUSTER,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656005,1000000001112,20421231,20120101,,,,,,,Rental,Preservation,,WILLOUGHBY COURT,LIHTC 4%,Financing,NYS Housing Finance Agency,false
,656006,1000000001113,20201231,19900101,,,,,,,Rental,Preservation,,48-58 WHIPPLE ST PROJECT,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,656007,1000000001114,20361231,20060101,,,,,,,Rental,Preservation,,RALPH GATES CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656008,1000000001115,20311231,20010101,,,,,,,Rental,Preservation,,KOSCIUSKO CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656009,1000000001116,20341231,20040101,,,,,,,Rental,,,DEKALB AVENUE APTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656010,1000000001120,20301231,20000101,,,,,,,Rental,Preservation,,KOSCIUSKO CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656011,1000000001121,20251231,19950101,,,,,,,Rental,Preservation,,HOPE EQUITIES,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656012,1000000001122,20301231,20000101,,,,,,,Rental,Preservation,,KOSCIUSKO CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656013,1000000001123,20241231,19940101,,,,,,,Rental,Preservation,,BK- 9A PARTNERS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656014,1000000001125,20381231,20080101,,,,,,,Rental,,,RUGGED CROSS APTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656015,1000000001126,20251231,19950101,,,,,,,Rental,Preservation,,GREEN AVENUE,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656016,1000000001127,20271231,19970101,,,,,,,Rental,Preservation,,21ST CENTURY DEVELOPMENT,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656017,1000000001128,20301231,20000101,,,,,,,Rental,Preservation,,QUINCY GREENE ASSOCIATES LP,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656018,1000000001129,20311231,20010101,,,,,,,Rental,Preservation,,NEB APTS,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656019,1000000001130,20361231,20060101,,,,,,,Rental,,,QUINCY SENIOR RESIDENCE,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656020,1000000001131,20351231,20050101,,,,,,,Rental,Preservation,,MEDGAR EVERS HOUSES,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656021,1000000001133,,,,,,,,,Rental,Preservation,,GATES AVENUE ASSOC II,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,656022,1000000001134,20301231,20000101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656023,1000000001135,20281231,19980101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656024,1000000001136,20281231,19980101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656025,1000000001137,20281231,19980101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656026,1000000001138,20281231,19980101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656027,1000000001139,20281231,19980101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656028,1000000001141,20311231,20010101,,,,,,,Rental,Preservation,,HOWARD AVENUE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656029,1000000001143,20321231,20020101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656030,1000000001144,20311231,20010101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656031,1000000001145,20301231,20000101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656032,1000000001146,20301231,20000101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656033,1000000001147,20281231,19980101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656034,1000000001148,20291231,19990101,,,,,,,Rental,Preservation,,PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656035,1000000001149,20321231,20020101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656036,1000000001150,20341231,20040101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656037,1000000001151,20351231,20050101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656038,1000000001152,20321231,20020101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656039,1000000001153,20321231,20020101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656040,1000000001154,20321231,20020101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656041,1000000001155,20321231,20020101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656042,1000000001156,20351231,20050101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656043,1000000001157,20341231,20040101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656044,1000000001158,20341231,20040101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656045,1000000001159,20341231,20040101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656046,1000000001160,20341231,20040101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656047,1000000001161,20431231,20130101,,,,,,,Rental,,,BAINBRIDGE MANOR,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656048,1000000001162,20341231,20040101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656049,1000000001164,20411231,20110101,,,,,,,Rental,,,UDC CORNERSTONE LLC,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656050,1000000001165,20391231,20090101,,,,,,,Rental,,,1825 ATLANTIC AVENUE LP,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656051,1000000001167,20371231,20070101,,,,,,,Rental,,,MYRTLE AVE APTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656052,1000000001168,20311231,20010101,,,,,,,Rental,Preservation,,SIXES,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656053,1000000001169,20321231,20020101,,,,,,,Rental,Preservation,,NEB APTS,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656054,1000000001170,20431231,20130101,,,,,,,Rental,Preservation,,"270 PULASKI STREET, LP",LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656055,1000000001171,20451231,20150101,,,,,,,Rental,Preservation,,CABS SENIOR HOUSING,LIHTC 4%,Financing,NYS Housing Finance Agency,false
,656056,1000000001173,20311231,20010101,,,,,,,Rental,,,CLOVER HALL,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656057,1000000001174,20381231,20080101,,,,,,,Rental,Preservation,,MAGNOLIA PLAZA HDFC,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656058,1000000001175,20271231,19970101,,,,,,,Rental,Preservation,,THROOP COURT,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656059,1000000001176,20391231,20090101,,,,,,,Rental,,,WAZOBIA HOUSE,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656060,1000000001177,20421231,20120101,,,,,,,Rental,,,NOEL POINTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656061,1000000001178,20431231,20130101,,,,,,,Rental,Preservation,,CITYWIDE POTFOLIO - BEDSTUY,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656062,1000000001180,20441231,20140101,,,,,,,Rental,Preservation,,CORNERSTONE SANDY F RAY HOUSING,LIHTC 4%,Financing,NYS Housing Finance Agency,false
,656063,1000000001181,20321231,20020101,,,,,,,Rental,Preservation,,QUINCY STREET HDFC,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656064,1000000001182,20351231,20050101,,,,,,,Rental,Preservation,,RALPH GATES CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656065,1000000001183,20401231,20100101,,,,,,,Rental,Preservation,,MEDGAR EVERS HOUSES II,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656066,1000000001185,20281231,19980101,,,,,,,Rental,Preservation,,GATES CLUSTER DEVELOPMENT CO,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656067,1000000001186,20301231,20000101,,,,,,,Rental,Preservation,,MADISON STREET CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656068,1000000001187,20301231,20000101,,,,,,,Rental,Preservation,,MADISON STREET CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656069,1000000001188,20301231,20000101,,,,,,,Rental,Preservation,,MADISON STREET CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656070,1000000001189,20301231,20000101,,,,,,,Rental,Preservation,,MADISON STREET CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656119,1000000001245,20451231,20150101,,,,,,,Rental,,,FROST STREET APARTMENTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656071,1000000001191,20351231,20050101,,,,,,,Rental,Preservation,,JEFFERSON CLUSTER (143 JEFFERSON AVE),LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656072,1000000001193,20391231,20090101,,,,,,,Rental,Preservation,,BSDC JOSHUA APTS,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656073,1000000001195,20371231,20070101,,,,,,,Rental,Preservation,,WATKINS AVENUE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656074,1000000001196,20351231,20050101,,,,,,,Rental,Preservation,,JEFFERSON CLUSTER (NOSTRAND AVE),LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656075,1000000001197,20251231,19950101,,,,,,,Rental,Preservation,,NOSTRAND AVENUE,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656076,1000000001198,20351231,20050101,,,,,,,Rental,Preservation,,JEFFERSON CLUSTER (161 HALSEY ST),LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656077,1000000001199,20321231,20020101,,,,,,,Rental,Preservation,,BAINBRIDGE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656078,1000000001201,20291231,19990101,,,,,,,Rental,Preservation,,THE ALHAMBRA,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656079,1000000001202,20241231,19940101,,,,,,,Rental,Preservation,,MACON STREET APTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656080,1000000001203,20361231,20060101,,,,,,,Rental,Preservation,,JEFFERSON CLUSTER (98 MACON ST),LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656081,1000000001204,20361231,20060101,,,,,,,Rental,Preservation,,JEFFERSON CLUSTER (MACDONOUGH ST),LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656082,1000000001205,20391231,20090101,,,,,,,Rental,Preservation,,KINGSTON HEIGHTS L.P.,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656083,1000000001207,20391231,20090101,,,,,,,Rental,Preservation,,ALBANY CROSSING LP,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656084,1000000001208,20451231,20150101,,,,,,,Rental,,,HERKIMER STREET RESIDENCE,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656085,1000000001209,20381231,20080101,,,,,,,Rental,Preservation,,260 HERKIMER STREET LP,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656086,1000000001210,20361231,20060101,,,,,,,Rental,Preservation,,JEFFERSON CLUSTER (ATLANTIC AVE),LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656087,1000000001211,20351231,20050101,,,,,,,Rental,Preservation,,JEFFERSON CLUSTER (ATLANTIC AVE),LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,656088,1000000001212,20231231,19930101,,,,,,,Rental,Preservation,,MERCY HOME SINGLE ROOM OCCUPANCY,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656089,1000000001213,20291231,19990101,,,,,,,Rental,Preservation,,ST LUCY/ ST PATRICK FAMILY HOUSING,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656090,1000000001214,20431231,20130101,,,,,,,Rental,Preservation,,GREENE AVENUE SENIOR,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656091,1000000001215,20381231,20080101,,,,,,,Rental,,,QUINCY 15,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656092,1000000001216,20211231,19910101,,,,,,,Rental,Preservation,,PARC VENDOME,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,656093,1000000001217,20321231,20020101,,,,,,,Rental,Preservation,,218 GATES SUPPORTIVE HOUSING PROJECT,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656094,1000000001219,20431231,20130101,,,,,,,Rental,,,PUTNAM COURT,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,656095,1000000001220,20221231,19920101,,,,,,,Rental,,,AFFORDABLE DWELLING UNIT,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,656096,1000000001221,20411231,20110101,,,,,,,Rental,,,NAVY GREEN R3,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656097,1000000001222,20401231,20100101,,,,,,,Rental,,,NAVY GREEN SUPPORTIVE HOUSING,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,656098,1000000001223,20391231,20090101,,,,,,,Rental,,,80 DEKALB AVENUE,LIHTC 4%,Financing,NYS Housing Finance Agency,false
,656099,1000000001224,20441231,20140101,,,,,,,Rental,,,29 FLATBUSH AVE.,LIHTC 4%,Financing,NYS Housing Finance Agency,false
,656100,1000000001225,20461231,20160101,,,,,,,Rental,,,250 ASHLAND PLACE,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
